sentence,context,type,subject_matter,subject,noun,gender,plurality,answer
Est-ce que tu vois [blank] voiture noire?,You are referencing a specific.,article,no,-1,voiture,feminine,singular,la
Est-ce que tu vois [blank] girafe?,You are not looking for a specific animal.,article,no,-1,girafe,feminine,singular,une
Elle a deux foulards [blank].,You are talking about blue scarves.,adjective,no,-1,foulards,masculine,plural,bleus
J'ai trois [blank] plantes et une grande.,You are discussing how many small and large plants you have.,adjective,no,-1,plantes,feminine,plural,petites
Élise est une excellente photographe. J'adore [blank] photos.,You are talking about your friend Élise.,pronoun,yes,Élise,photos,feminine,plural,ses
Max a perdu [blank] livre.,You are talking about your friend Max.,pronoun,yes,Max,livre,masculine,singular,son
Je dois faire [blank] devoirs.,You have multiple assignments to do tonight.,pronoun,yes,Je,devoirs,masculine,plural,mes
"Tu peux fermer [blank] fenêtre, s’il te plaît ?",A specific window is open,article,no,-1,fenêtre,feminine,singular,la
Ils cherchent [blank] appartement à Paris.,"Any apartment, not a specific one.",article,no,-1,appartement,masculine,singular,un
J’ai acheté [blank] pommes au marché.,A specific batch of apples you bought.,article,no,-1,pommes,feminine,plural,les
Nous visitons [blank] musée aujourd’hui.,A particular museum planned.,article,no,-1,musée,masculine,singular,le
Elle veut adopter [blank] chat.,"Any cat, not yet chosen.",article,no,-1,chat,masculine,singular,un
Il porte une chemise [blank].,Talking about a red shirt he’s wearing.,adjective,no,-1,chemise,feminine,singular,rouge
J’adore ces jardins [blank].,Talking about beautiful gardens.,adjective,no,-1,jardins,masculine,plural,beaux
Elle a acheté une robe [blank].,Talking about a long dress.,adjective,no,-1,robe,feminine,singular,longue
Nous cherchons des solutions [blank].,Discussing practical solutions.,adjective,no,-1,solutions,feminine,plural,pratiques
Ils ont un chien très [blank].,Talking about a smart/intelligent dog.,adjective,no,-1,chien,masculine,singular,intelligent
Je n’ai pas vu [blank] clés.,Your own keys are missing.,pronoun,yes,Je,clés,feminine,plural,mes
Tu peux me prêter [blank] chargeur ?,Asking for your friend’s charger.,pronoun,yes,Tu,chargeur,masculine,singular,ton
Claire adore [blank] grand-mère.,Talking about Claire’s grandmother.,pronoun,yes,Claire,grand-mère,feminine,singular,sa
Lucas a fini [blank] exercices.,Talking about Lucas’s homework set.,pronoun,yes,Lucas,exercices,masculine,plural,ses
Nous attendons [blank] amis.,Talking about our friends that we expect.,pronoun,yes,Nous,amis,masculine,plural,nos
Ils ont vendu [blank] voiture.,Talking about their car.,pronoun,yes,Ils,voiture,feminine,singular,leur
Vous pouvez choisir [blank] dessert.,You can pick your dessert.,pronoun,yes,Vous,dessert,masculine,singular,votre
J’aime beaucoup [blank] chanson-là.,Referring to that specific song.,demonstrative,no,-1,chanson,feminine,singular,cette
Regarde [blank] oiseaux-là !,Pointing at those specific birds.,demonstrative,no,-1,oiseaux,masculine,plural,ces
Tu te souviens de [blank] moment ?,Referring to that particular moment.,demonstrative,no,-1,moment,masculine,singular,ce
